id,title,user_id,username,ip_address,created_at,is_deleted
1,test,1,admin,127.0.0.1,"2025-08-08 20:39:01",0
2,any,,Anonymous,127.0.0.1,"2025-08-08 20:39:10",0
7,"test thread",1,admin,::1,"2025-08-09 21:23:58",0
8,"Posts may be deleted at any time (or edited by admin)",,Anonymous,10.0.0.84,"2025-08-13 23:16:58",0
9,test,,Anonymous,10.0.0.84,"2025-08-13 23:17:44",0
10,"I Be da best",2,modmaster,73.241.51.116,"2025-08-16 05:56:29",0
11,tsteaweg,2,modmaster,73.241.51.116,"2025-08-16 06:10:30",0
12,"test post",2,modmaster,73.241.51.116,"2025-08-16 17:47:51",0
